label,cond1,cond2,cond3,item,controller,sentence,alternative,overnum,amaze_labels,labels_nums,num_words,label_mismatch,verb_num
mklo.hit.100,mklo,hit,none,100,Maze,The workmen banged the nails.,x-x-x vocally infancy yeah versa.,1,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.101,mklo,hit,none,101,Maze,The king slapped the rebel.,x-x-x else shuttle page adopt.,2,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.102,mklo,hit,none,102,Maze,The assistant patted the dough.,x-x-x recommend patchy nice dared.,3,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.103,mklo,hit,none,103,Maze,The maidens caressed my feet.,x-x-x abolish licensure sale thus.,4,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.104,mklo,hit,none,104,Maze,The boys bit the candy.,x-x-x else acute fund audit.,5,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.105,mklo,hit,none,105,Maze,The man beat the oxen.,x-x-x seen coma tell omit.,6,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.106,mklo,hit,none,106,Maze,The breeze tickled my neck.,x-x-x expire primetime yes owns.,7,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.107,mklo,hit,none,107,Maze,The teenagers battered the suspects.,x-x-x deodorize ductile pick verified.,8,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.108,mklo,hit,none,108,Maze,The sheriff nudged my elbow.,x-x-x undergo cassava pre vitro.,9,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.109,mklo,hit,none,109,Maze,The jay pecked the treats.,x-x-x hie typhoons glad tapped.,10,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.110,mklo,hit,none,110,Maze,The warrior kicked my jaw.,x-x-x manning preview okay sans.,11,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.111,mklo,hit,none,111,Maze,The acid stung my eye.,x-x-x warn renown goal glad.,12,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.break.100,mklo,break,none,100,Maze,The workmen chipped the tiles.,x-x-x vocally infancy buy macro.,13,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.101,mklo,break,none,101,Maze,The king crushed the protest.,x-x-x else shuttle vote besides.,14,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.102,mklo,break,none,102,Maze,The assistant ripped the script.,x-x-x recommend patchy sale argued.,15,break1 break2 verb3 break4 break5,5,5,0,2
